Factura,Fecha,FechaVencimiento,Cliente,Producto,Cantidad,Moneda,Total,Almacen,Vendedor,TotalUSD,Impuesto,ImpuestoUSD,Tipo de cambio,Ganacia,GananciaUSD
000066964,20190708.,20190808.,C002080,A000348,12.00,CRC,"21,443.40",1,-1,0,"2,787.64",0,0,"8,104.9000",0
000067507,20190709.,20190809.,C004455,A000347,1.00,CRC,"17,098.67",1,-1,0,"2,222.83",0,0,"3,804.2700",0
000076733,20190822.,20190922.,C000319,A000345,10.00,CRC,"2,431.00",1,-1,0,0.00,0,0,"1,505.1800",0
000076733,20190822.,20190922.,C000319,A000344,10.00,CRC,"2,244.00",1,-1,0,0.00,0,0,"1,217.5400",0
000091000,20191023.,20191123.,C000591,A000309,3.00,CRC,"34,732.50",1,-1,0,"4,515.23",0,0,"11,975.8500",0
000091001,20191023.,20191223.,C000369,A000328,3.00,CRC,"5,890.50",1,-1,0,0.00,0,0,"3,317.3500",0
000091304,20191023.,20191123.,C000856,A000336,6.00,CRC,"9,622.80",1,-1,0,0.00,0,0,"5,613.1000",0
000091305,20191023.,20191123.,C000856,A000328,6.00,CRC,"11,781.00",1,-1,0,0.00,0,0,"6,634.7000",0
000091509,20191024.,20191124.,C000319,A000325,3.00,CRC,"5,273.40",1,-1,0,0.00,0,0,"2,967.6600",0
000091509,20191024.,20191124.,C000319,A000328,3.00,CRC,"5,890.50",1,-1,0,0.00,0,0,"3,317.3500",0
000091572,20191024.,20191124.,C002225,A000336,12.00,CRC,"19,245.60",1,-1,0,0.00,0,0,"11,226.2000",0
000092030,20191028.,20191128.,C000950,A000341,6.00,CRC,"1,458.60",1,-1,0,0.00,0,0,7.587.200,0
000092160,20191028.,20191128.,C000362,A000338,200.00,CRC,"14,960.00",1,-1,0,0.00,0,0,"6,248.0200",0
000092200,20191028.,20191128.,C001640,A000336,4.00,CRC,"6,415.20",1,-1,0,0.00,0,0,"3,742.0700",0
000502306,20161202.,20170302.,C000283,A000339,300.00,CRC,"38,880.00",1,59,0,"5,054.40",0,0,"8,325.3700",0
000502360,20161204.,20161125.,C001291,A000356,1.00,CRC,"11,265.00",1,-1,0,0.00,0,0,"1,817.5400",0
000502360,20161204.,20161125.,C001291,A000377,1.00,CRC,"12,765.00",1,-1,0,0.00,0,0,"1,848.7100",0
000502453,20161205.,20170105.,C000828,A000329,12.00,CRC,"12,300.60",1,-1,0,0.00,0,0,"5,354.2100",0
000502616,20161205.,20170205.,C000910,A000329,120.00,CRC,"101,400.00",2,-1,0,0.00,0,0,"27,880.0700",0
000502703,20161206.,20170106.,C000584,A000376,10.00,CRC,"49,950.00",1,-1,0,0.00,0,0,"10,313.6400",0
000502791,20161206.,20170106.,C000419,A000344,6.00,CRC,"1,162.80",1,-1,0,151.16,0,0,6.336.100,0
000502794,20161206.,20170106.,C001260,A000384,9.00,CRC,"20,160.00",1,-1,0,0.00,0,0,"5,404.0100",0
000502872,20161206.,20170106.,C002019,A000337,1.00,CRC,"1,378.58",1,-1,0,0.00,0,0,6.096.600,0
000502884,20161206.,20170106.,C002019,A000337,1.00,CRC,"1,378.58",1,-1,0,0.00,0,0,6.096.600,0
000502936,20161206.,20170106.,C001356,A000339,60.00,CRC,"9,720.00",1,-1,0,"1,263.60",0,0,"3,609.1100",0
000502948,20161206.,20170106.,C001074,A000338,50.00,CRC,"3,400.00",1,-1,0,442.00,0,0,"1,541.1900",0
000502961,20161206.,20161207.,C000535,A000389,10.00,CRC,"86,490.00",1,-1,0,"11,243.70",0,0,"23,967.7600",0
000502968,20161206.,20161127.,C001291,A000377,1.00,CRC,"12,765.00",1,-1,0,0.00,0,0,"1,848.7100",0
000503060,20161206.,20170206.,C000571,A000379,6.00,CRC,"32,970.00",1,-1,0,0.00,0,0,"7,187.1800",0
000503060,20161206.,20170206.,C000571,A000376,6.00,CRC,"29,970.00",1,-1,0,0.00,0,0,"6,188.1800",0
000503147,20161207.,20170107.,C002029,A000347,15.00,CRC,"232,500.00",1,-1,0,"30,225.00",0,0,"22,503.3300",0
000503231,20161207.,20170107.,C003017,A000379,4.00,CRC,"21,486.60",1,-1,0,0.00,0,0,"4,298.0500",0
000503318,20161207.,20170107.,C001244,A000338,50.00,CRC,"3,060.00",1,-1,0,397.80,0,0,"1,201.1800",0
000503367,20161207.,20161223.,C002363,A000376,3.00,CRC,"14,862.60",1,-1,0,0.00,0,0,"2,971.6900",0
000503402,20161207.,20161223.,C000668,A000379,1.00,CRC,"5,495.00",1,-1,0,0.00,0,0,"1,197.8600",0
000503403,20161207.,20170107.,C000384,A000326,12.00,CRC,"11,940.00",1,-1,0,0.00,0,0,"5,505.7200",0
000503403,20161207.,20170107.,C000384,A000321,12.00,CRC,"11,160.00",1,-1,0,0.00,0,0,"4,825.9900",0
000503438,20161207.,20170107.,C000080,A000329,5.00,CRC,"5,125.00",1,-1,0,0.00,0,0,"2,230.6700",0
000503447,20161207.,20170107.,C000644,A000329,15.00,CRC,"15,375.00",1,-1,0,0.00,0,0,"6,692.0100",0
000503451,20161207.,20170107.,C001275,A000349,37.00,CRC,"63,270.00",1,-1,0,"8,225.10",0,0,"1,998.8400",0
000503463,20161207.,20170107.,C003457,A000320,8.00,CRC,"9,160.00",1,-1,0,"1,190.80",0,0,"2,840.8400",0
000503468,20161208.,20161208.,C003369,A000344,20.00,CRC,"3,590.40",1,-1,0,466.75,0,0,"1,826.4200",0
000503468,20161208.,20161208.,C003369,A000345,20.00,CRC,"3,889.60",1,-1,0,505.65,0,0,"2,026.4500",0
000503471,20161208.,20170308.,C000395,A000376,8.00,CRC,"39,633.60",1,-1,0,0.00,0,0,"7,924.5100",0
000503488,20161208.,20170208.,C000910,A000321,360.00,CRC,"248,346.00",2,-1,0,0.00,0,0,"48,391.9900",0
000503488,20161208.,20170208.,C000910,A000329,240.00,CRC,"202,800.00",2,-1,0,0.00,0,0,"55,760.1400",0
000503500,20161208.,20170208.,C000479,A000309,1.00,CRC,"11,795.00",1,-1,0,"1,533.34",0,0,"5,308.2000",0
000503532,20161208.,20170108.,C000350,A000344,50.00,CRC,"9,690.00",1,-1,0,"1,259.70",0,0,"5,280.0400",0
000503532,20161208.,20170108.,C000350,A000343,49.00,CRC,"13,499.50",1,-1,0,"1,754.94",0,0,"6,038.5300",0
000503532,20161208.,20170108.,C000350,A000345,25.00,CRC,"5,248.75",1,-1,0,682.34,0,0,"2,919.8100",0
000503544,20161208.,20170208.,C000910,A000329,240.00,CRC,"202,800.00",2,-1,0,"25,309.44",0,0,"55,760.1400",0
000503544,20161208.,20170208.,C000910,A000321,360.00,CRC,"248,346.00",2,-1,0,"30,993.58",0,0,"48,391.9900",0
000503574,20161208.,20170108.,C000452,A000359,6.00,CRC,"9,414.00",1,-1,0,0.00,0,0,"-2,425.6200",0
000503578,20161208.,20161129.,C001291,A000356,1.00,CRC,"11,265.00",1,-1,0,0.00,0,0,"1,817.5500",0
000503578,20161208.,20161129.,C001291,A000377,1.00,CRC,"12,765.00",1,-1,0,0.00,0,0,"1,848.7100",0
000503593,20161208.,20170108.,C001400,A000379,2.00,CRC,"10,990.00",1,-1,0,0.00,0,0,"2,395.7300",0
000503598,20161208.,20170108.,C001467,A000379,6.00,CRC,"32,229.90",1,-1,0,0.00,0,0,"6,447.0800",0
000503598,20161208.,20170108.,C001467,A000376,6.00,CRC,"29,725.20",1,-1,0,0.00,0,0,"5,943.3800",0
000503606,20161208.,20170108.,C001907,A000339,200.00,CRC,"32,400.00",1,-1,0,"4,212.00",0,0,"12,030.3600",0
000503606,20161208.,20170108.,C001907,A000338,150.00,CRC,"10,200.00",1,-1,0,"1,326.00",0,0,"4,623.5600",0
000503651,20161208.,20170108.,C001977,A000329,12.00,CRC,"12,300.00",1,-1,0,0.00,0,0,"5,353.6100",0
000503651,20161208.,20170108.,C001977,A000326,11.00,CRC,"10,945.00",1,-1,0,0.00,0,0,"5,046.9100",0
000503678,20161209.,20170124.,C001820,A000384,6.00,CRC,"11,852.22",1,-1,0,0.00,0,0,"1,990.6200",0
000503744,20161209.,20170109.,C000344,A000336,24.00,CRC,"34,992.00",1,-1,0,"4,548.96",0,0,"18,127.0500",0
